Country Code	Time	"Adult literacy rate, population 15+ years, both sexes (%)"	"Agriculture, value added (% of GDP)"	"Central government debt, total (% of GDP)"	CO2 emissions (metric tons per capita)	"Death rate, crude (per 1,000 people)"	Female headed households (% of households with a female head)	"Foreign direct investment, net (BoP, current US$)"	GDP (current US$)	GDP growth (annual %)	GDP per capita (current US$)	GINI index (World Bank estimate)	"GNI per capita, Atlas method (current US$)"	"GNI per capita, PPP (current international $)"	"Inflation, consumer prices (annual %)"	"Inflation, GDP deflator (annual %)"	Internet users (per 100 people)	"Life expectancy at birth, total (years)"	Long-term unemployment (% of total unemployment)	"Long-term unemployment, female (% of female unemployment)"	"Long-term unemployment, male (% of male unemployment)"	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Population growth (annual %)	"Population, female (% of total)"	"Population, total"	Poverty headcount ratio at national poverty lines (% of population)	Unemployment with primary education (% of total unemployment)	"Unemployment with primary education, female (% of female unemployment)"	"Unemployment with primary education, male (% of male unemployment)"	Unemployment with secondary education (% of total unemployment)	"Unemployment with secondary education, female (% of female unemployment)"	"Unemployment with secondary education, male (% of male unemployment)"	Unemployment with tertiary education (% of total unemployment)	"Unemployment with tertiary education, female (% of female unemployment)"	"Unemployment with tertiary education, male (% of male unemployment)"	"Unemployment, female (% of female labor force) (modeled ILO estimate)"	"Unemployment, female (% of female labor force) (national estimate)"	"Unemployment, male (% of male labor force) (modeled ILO estimate)"	"Unemployment, male (% of male labor force) (national estimate)"	"Unemployment, total (% of total labor force) (modeled ILO estimate)"	"Unemployment, total (% of total labor force) (national estimate)"	"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)"	"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"	"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)"	"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)"	"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"	"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)"	Women who were first married by age 18 (% of women ages 20-24)	Grand Total
AND	1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.491342625	0	20755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20755
AND	1968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.315135994	0	21888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21888
AND	1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.220433759	0	23061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23061
AND	1970	0	0	0	0	0	0	0	78617622.62	0	3238.091462	0	0	0	0	0	0	0	0	0	0	0	0	0	5.146890015	0	24279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78617622.62
AND	1971	0	0	0	0	0	0	0	89406587.66	4.649473525	3497.910315	0	0	0	0	7.845862579	0	0	0	0	0	0	0	0	5.141685033	0	25560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89406587.66
AND	1972	0	0	0	0	0	0	0	113414399.2	8.149745709	4217.402915	0	3970	0	0	8.518075485	0	0	0	0	0	0	0	0	5.08002151	0	26892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113414399.2
AND	1973	0	0	0	0	0	0	0	150841573.5	7.788465414	5343.118326	0	4990	0	0	11.84943571	0	0	0	0	0	0	0	0	4.859182034	0	28231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150841573.5
AND	1974	0	0	0	0	0	0	0	186557164	5.618785784	6320.971878	0	6300	0	0	15.94520563	0	0	0	0	0	0	0	0	4.444406209	0	29514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186557164
AND	1975	0	0	0	0	0	0	0	220112879.8	0.542203245	7168.399653	0	7300	0	0	16.78179821	0	0	0	0	0	0	0	0	3.95933482	0	30706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220112879.8
AND	1976	0	0	0	0	0	0	0	227284061.5	3.303791457	7151.570481	0	7570	0	0	16.48985224	0	0	0	0	0	0	0	0	3.441055171	0	31781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227284061.5
AND	1977	0	0	0	0	0	0	0	253998001.2	2.838574307	7751.1673	0	7880	0	0	23.38309407	0	0	0	0	0	0	0	0	3.061431958	0	32769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253998001.2
AND	1978	0	0	0	0	0	0	0	308020288.9	1.463003413	9127.608869	0	8570	0	0	20.63103756	0	0	0	0	0	0	0	0	2.937894525	0	33746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308020288.9
AND	1979	0	0	0	0	0	0	0	411548365.7	0.041546518	11819.64921	0	10360	0	0	16.93170155	0	0	0	0	0	0	0	0	3.130132302	0	34819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411548365.7
AND	1980	0	0	0	0	0	0	0	446377571.5	2.208728144	12377.71598	0	12550	0	0	13.35481325	0	0	0	0	0	0	0	0	3.510419419	0	36063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446377571.5
AND	1981	0	0	0	0	0	0	0	388982990.5	-0.132468704	10372.32656	0	12410	0	0	12.35116668	0	0	0	0	0	0	0	0	3.91268559	0	37502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388982990.5
AND	1982	0	0	0	0	0	0	0	375914806.5	1.246461733	9611.239684	0	10780	0	0	13.58234913	0	0	0	0	0	0	0	0	4.203506039	0	39112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375914806.5
AND	1983	0	0	0	0	0	0	0	327849981.5	1.770115807	8023.346422	0	8890	0	0	11.88423801	0	0	0	0	0	0	0	0	4.377121054	0	40862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327849981.5
AND	1984	0	0	0	0	0	0	0	330073057	1.784687569	7729.324115	0	8050	0	0	10.86473342	0	0	0	0	0	0	0	0	4.409205684	0	42704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330073057
AND	1985	0	0	0	0	0	0	0	346742876.3	2.321435854	7775.026937	0	7640	0	0	8.595460767	0	0	0	0	0	0	0	0	4.337399953	0	44597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346742876.3
AND	1986	0	0	0	0	0	0	0	481996191.3	3.253321681	10362.16686	0	8700	0	0	10.87881536	0	0	0	0	0	0	0	0	4.210824903	0	46515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481996191.3
AND	1987	0	0	0	0	0	0	0	611300147.3	5.547122593	12615.05112	0	11020	0	0	5.944198386	0	0	0	0	0	0	0	0	4.092260216	0	48458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	611300147.3
AND	1988	0	0	0	0	0	0	0	721425971.8	5.094324232	14305.20854	0	14080	0	0	5.936126976	0	0	0	0	0	0	0	0	3.990862197	0	50431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	721425971.8
AND	1989	0	0	0	0	0	0	0	795489464	4.827030278	15166.91384	0	15360	0	0	6.896211192	0	0	0	0	0	0	0	0	3.923520353	0	52449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795489464
AND	1990	0	0	0	0	0	0	0	1028989394	3.781393478	18876.72935	0	16880	0	0	7.326237565	0	0	0	0	0	0	0	0	3.856124728	0	54511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1028989394
AND	1991	0	0	0	0	0	0	0	1106891025	2.546000641	19530.8435	0	18260	0	0	6.935151368	0	0	0	0	0	0	0	0	3.891303561	0	56674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1106891025
AND	1992	0	0	0	0	0	0	0	1209992650	0.929215383	20541.7739	0	20140	0	0	6.710767541	0	0	0	0	0	0	0	0	3.859344829	0	58904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1209992650
AND	1993	0	0	0	0	0	0	0	1007090915	-1.031491714	16508.87522	0	18730	0	0	4.537239883	0	0	0	0	0	0	0	0	3.501404323	0	61003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007090915
AND	1994	0	0	0	0	0	0	0	1017544675	2.383195277	16226.97108	0	17880	0	0	3.879845102	0	0	0	0	0	0	0	0	2.755004086	0	62707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017544675
AND	1995	0	0	0	6.374494942	0	0	0	1178745314	2.757493977	18460.00743	0	17840	0	0	4.933128847	0	0	0	0	0	0	0	0	1.812614319	0	63854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178745314
AND	1996	0	0	0	6.616353766	0	0	0	1224023416	4.649741959	19038.79883	0	18990	0	0	0.797174559	1.526601023	0	0	0	0	0	0	0	0.682042521	0	64291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224023416
AND	1997	0	0	0	7.145696603	0	0	0	1180646068	9.067673964	18405.3201	0	20190	0	0	2.228158514	3.050175385	0	0	0	0	0	0	0	-0.224232798	0	64147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1180646068
AND	1998	0	0	0	7.576446281	0	0	0	1211953954	3.194787965	18969.97799	0	19410	0	0	1.499559182	6.886209218	0	0	0	0	0	0	0	-0.404577425	0	63888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1211953954
AND	1999	0	0	0	8.001433893	0	0	0	1239840270	4.099081148	19323.89255	0	19250	0	0	2.731977328	7.635686143	0	0	0	0	0	0	0	0.426399915	0	64161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1239840270
AND	2000	0	0.471933745	0	8.018180706	0	0	0	1401694156	1.165787064	21432.96007	0	19930	0	0	29.22627832	10.53883561	0	0	0	0	0	0	0	1.911141835	0	65399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1401694156
AND	2001	0	0.437773986	0	7.73765678	0	0	0	1484004617	6.066780597	21897.66294	0	21000	0	0	2.769411911	0	0	0	0	0	0	0	0	3.561265132	0	67770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1484004617
AND	2002	0	0.38739726	0	7.484094812	0	0	0	1717563533	6.426845139	24175.37275	0	22590	0	0	3.401064581	11.26046872	0	0	0	0	0	0	0	4.720793543	0	71046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1717563533
AND	2003	0	0.426948129	0	7.159140446	0	0	0	2373836214	12.02391974	31742.99258	0	27150	0	0	2.879202349	13.54641288	0	0	0	0	0	0	0	5.126303185	0	74783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2373836214
AND	2004	0	0.423552048	0	7.208828523	3.8	0	0	2916913449	8.069504291	37235.45003	0	33610	0	0	3.350340918	26.83795439	0	0	0	0	0	0	0	4.642944647	0	78337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2916913449
AND	2005	0	0.38324738	0	7.088127747	3.6	0	0	3248134607	7.839704496	39990.33041	0	40040	0	0	3.100292816	37.60576622	0	0	0	0	0	0	0	3.61784254	0	81223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3248134607
AND	2006	0	0.359695642	0	6.553476545	3.3	0	0	3536451646	4.585310593	42417.22915	0	42740	0	0	3.199407924	48.936847	0	0	0	0	0	0	0	2.612605765	0	83373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3536451646
AND	2007	0	0.375712779	0	6.350868305	2.8	0	0	4010785102	0.078039378	47253.5298	0	44250	0	0	3.869916956	70.87	0	0	0	0	0	0	0	1.789041541	0	84878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4010785102
AND	2008	0	0.414406103	0	6.296124556	2.8	0	0	4001349340	-8.594256008	46735.99957	0	43760	0	0	1.980102507	70.04	0	0	0	0	0	0	0	0.865725022	0	85616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4001349340
AND	2009	0	0.401167725	0	6.049172848	3.2	0	0	3649863493	-3.817986024	42701.44714	0	44180	0	0	0.00010923	78.53	0	0	0	0	0	0	0	-0.165994544	0	85474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3649863493
AND	2010	0	0.46386081	0	6.12477049	2.8	0	0	3346317329	-5.347977181	39639.38602	0	41670	0	0	1.600397014	81	0	0	0	0	0	0	0	-1.241974138	0	84419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3346317329
AND	2011	0	0.496471161	0	5.96868547	0	0	0	3427235709	-4.802675037	41630.05258	0	40580	0	0	2.499729001	81	0	0	0	0	0	0	0	-2.510551958	0	82326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3427235709
AND	2012	0	0.568068119	0	6.195193908	3.9	0	0	3146177741	-1.760010328	39666.36921	0	41010	0	0	1.099966922	86.43442462	0	0	0	0	0	0	0	-3.724710143	0	79316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3146177741
AND	2013	0	0.523887556	0	6.473847856	0	0	0	3249100667	-0.063514313	42806.52245	0	43270	0	0	-0.000194385	94	0	0	0	0	0	0	0	-4.399683922	0	75902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3249100667
AND	2014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.9	0	0	0	0	0	0	0	-4.19194055	0	72786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72786
AND	2015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.91	0	0	0	0	0	0	0	-3.229397128	0	70473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70473
ALB	1967	0	0	0	1.3637463	8.555	0	0	0	0	0	0	0	0	0	0	0	66.28721951	0	0	0	41.60014409	53.06342388	5.336432022	2.630190345	48.51460578	1965598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1965598
ALB	1968	0	0	0	1.519551277	8.366	0	0	0	0	0	0	0	0	0	0	0	66.47495122	0	0	0	41.43655872	53.29344356	5.269997711	2.84251071	48.51062418	2022272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022272
ALB	1969	0	0	0	1.558967572	8.184	0	0	0	0	0	0	0	0	0	0	0	66.68160976	0	0	0	41.19772896	53.5826566	5.219614442	2.896083388	48.50920889	2081695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2081695
ALB	1970	0	0	0	1.753239905	7.996	0	0	0	0	0	0	0	0	0	0	0	66.93258537	0	0	0	40.90994057	53.89672287	5.193336563	2.550851178	48.51167255	2135479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2135479
ALB	1971	0	0	0	1.989497923	7.797	0	0	0	0	0	0	0	0	0	0	0	67.23887805	0	0	0	40.54127082	54.27798768	5.180741494	2.422972017	48.51869176	2187853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2187853
ALB	1972	0	0	0	2.515914398	7.59	0	0	0	0	0	0	0	0	0	0	0	67.58595122	0	0	0	40.17903651	54.64371504	5.17724845	2.494973107	48.52926691	2243126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2243126
ALB	1973	0	0	0	2.303897417	7.381	0	0	0	0	0	0	0	0	0	0	0	67.95795122	0	0	0	39.79004327	55.0290785	5.180878222	2.362552224	48.54108783	2296752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2296752
ALB	1974	0	0	0	1.849006691	7.172	0	0	0	0	0	0	0	0	0	0	0	68.34834146	0	0	0	39.32876737	55.48303199	5.188200641	2.297214176	48.55124112	2350124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2350124
ALB	1975	0	0	0	1.910633637	6.969	0	0	0	0	0	0	0	0	0	0	0	68.74121951	0	0	0	38.78466127	56.01848684	5.196851896	2.30115381	48.55797604	2404831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2404831
ALB	1976	0	0	0	2.013584562	6.782	0	0	0	0	0	0	0	0	0	0	0	69.1155122	0	0	0	38.29604543	56.48685367	5.217100901	2.208235255	48.56074938	2458526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2458526
ALB	1977	0	0	0	2.275876391	6.619	0	0	0	0	0	0	0	0	0	0	0	69.45617073	0	0	0	37.71030185	57.05118098	5.238517175	2.213252179	48.56086635	2513546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2513546
ALB	1978	0	0	0	2.53062504	6.483	0	0	0	0	0	0	0	0	0	0	0	69.7542439	0	0	0	37.08038393	57.65915131	5.260464764	2.075741895	48.56062477	2566266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2566266
ALB	1979	0	0	0	2.898208518	6.376	0	0	0	0	0	0	0	0	0	0	0	70.00965854	0	0	0	36.48108168	58.23736145	5.281556873	1.98945702	48.56302998	2617832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2617832
ALB	1980	0	33.60020616	0	1.93505831	6.289	0	0	0	0	0	0	0	0	0	0	0	70.23597561	0	0	0	35.94882228	58.74987179	5.301305923	2.047963861	48.57001132	2671997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2671997
ALB	1981	0	32.40029884	0	2.693023914	6.213	0	0	0	5.745635266	0	0	0	0	0	-2.177360473	0	70.45446341	0	0	0	35.46198647	59.20900192	5.329011611	2.002974306	48.58753737	2726056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2726056
ALB	1982	0	31.69971047	0	2.624856785	6.138	0	0	0	2.948596802	0	0	0	0	0	-0.017694288	0	70.68512195	0	0	0	35.03671572	59.60897531	5.354308964	2.113271783	48.61563346	2784278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2784278
ALB	1983	0	34.10009748	0	2.683239919	6.06	0	0	0	1.104938266	0	0	0	0	0	-0.016747295	0	70.93739024	0	0	0	34.65968015	59.9644694	5.375850448	2.120885334	48.6445603	2843960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2843960
ALB	1984	0	33.09994105	0	2.694291374	5.98	0	0	1924242453	-1.251596644	662.5200523	0	0	0	0	-0.028354048	0	71.20653659	0	0	0	34.31091229	60.29804349	5.391044221	2.103936618	48.66142356	2904429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1924242453
ALB	1985	0	34.60001209	0	2.658015382	5.907	0	0	1965384586	1.780643958	662.9147926	0	0	0	0	0.351197545	0	71.47121951	0	0	0	33.98737157	60.61280188	5.399826547	2.055994609	48.66093052	2964762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1965384586
ALB	1986	0	34.00000038	0	2.665356221	5.856	0	0	2173750013	5.637243196	719.1572957	0	720	0	0	-2.378001132	0	71.69756098	0	0	0	33.71009499	60.87705274	5.412852273	1.933220811	48.62694973	3022635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2173750013
ALB	1987	0	33.20002472	0	2.414060815	5.838	0	0	2156624900	-0.787842649	699.3842921	0	760	0	0	2.86176E-05	0	71.86195122	0	0	0	33.47688298	61.10771157	5.415405455	1.997039956	48.57061207	3083605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2156624900
ALB	1988	0	31.49988182	0	2.331598531	5.857	0	0	2126000000	-1.420039678	676.5667325	0	760	0	0	1.37767E-06	0	71.95329268	0	0	0	33.26483298	61.31481885	5.420348169	1.886710529	48.54125535	3142336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2126000000
ALB	1989	0	32.3001977	0	2.783243075	5.911	0	0	2335124988	9.836548993	723.4096102	0	790	0	0	-1.88781E-06	0	71.97858537	0	0	0	33.02226816	61.53198599	5.445745851	2.687861989	48.60042186	3227943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2335124988
ALB	1990	0	35.90078991	0	1.61562396	5.99	0	0	2101624963	-9.575640187	639.4638993	0	680	2750	0	-0.468707364	0	71.95731707	0	0	0	32.69588198	61.80152512	5.502592906	1.799085593	48.78372477	3286542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2101624963
ALB	1991	0	39.29529516	0	1.3122126	6.081	0	0	1139166646	-29.58899768	348.7113178	0	420	1970	0	38.56834207	0	71.91841463	0	0	0	32.81237502	61.53088534	5.656739648	-0.602809679	49.12454456	3266790	0	0	0	0	0	0	0	0	0	0	14.89999962	0	9.699999809	0	11.80000019	0	24.20000076	0	19.10000038	0	21.29999924	0	0	1139166646
ALB	1992	0	51.64187027	0	0.774724911	6.167	0	-20000000	709452583.9	-7.199999987	218.4921659	0	300	1840	226.0054213	249.6834375	0	71.90080488	0	0	0	32.85486419	61.30830803	5.836827785	-0.606434726	49.6017883	3247039	0	0	0	0	0	0	0	0	0	0	18.29999924	0	12.10000038	0	14.60000038	0	29.39999962	0	23.20000076	0	25.89999962	0	0	709452583.9
ALB	1993	0	54.64097649	0	0.723790292	6.234	0	-58000000	1228071038	9.600000012	380.5273711	0	320	2150	85.00475124	114.8356477	0	71.93585366	0	0	0	32.81281205	61.14885678	6.038331176	-0.610165793	50.12639425	3227287	0	0	0	0	0	0	0	0	0	0	21.29999924	0	15.60000038	0	17.89999962	0	34	0	31.5	0	32.59999847	0	0	1228071038
ALB	1994	0	53.62098061	0	0.600203708	6.273	0	-53000000	1985673798	8.299999997	619.0651634	0	400	2420	22.56505269	38.4164948	0	72.04195122	0	0	0	32.73001566	61.025449	6.244535339	-0.613880507	50.55555662	3207536	0	0	0	0	0	0	0	0	0	0	21.20000076	0	15.10000038	0	17.60000038	0	33.90000153	0	30.20000076	0	31.89999962	0	0	1985673798
ALB	1995	0	55.81214471	35.28888344	0.654537133	6.274	0	-70000000	2424499009	13.29999999	760.5593758	0	660	2860	7.793218538	5.573307461	0.011168695	72.23602439	0	0	0	32.65484866	60.89991171	6.445239636	-0.617703658	50.77646024	3187784	0	0	0	0	0	0	0	0	0	0	21	0	14	0	16.89999962	0	33.79999924	0	26	0	29.5	0	0	2424499009
ALB	1996	0	37.47960475	36.17787161	0.636625313	6.23	0	-90100000	3314898291	9.1	1046.358511	27.01	920	3210	12.72547781	41.2755945	0.032196828	72.52741463	0	0	0	32.12797789	61.29217855	6.579843559	-0.621511399	50.73129856	3168033	0	0	0	0	0	0	0	0	0	0	19.5	0	12.89999962	0	15.60000038	0	30.70000076	0	25.39999962	0	27.79999924	0	0	3314898291
ALB	1997	0	32.70015992	50.8261396	0.49036506	6.149	0	-47500000	2359903108	-10.83785573	749.584649	0	830	2930	33.18027438	12.0887059	0.048593919	72.89809756	0	0	0	31.66419346	61.63689166	6.698914881	-0.625430097	50.46217087	3148281	0	0	0	0	0	0	0	0	0	0	18.10000038	0	12	0	14.5	0	29.60000038	0	23.60000038	0	26.29999924	0	0	2359903108
ALB	1998	0	30.47521817	52.25779226	0.560271437	6.044	0	-45010000	2707123772	9.00885254	865.3021618	0	900	3270	20.64285887	8.432367838	0.06502737	73.32658537	0	0	0	31.23721759	61.95031226	6.812470149	-0.629334393	50.07103037	3128530	0	46.59999847	40.09999847	52.59999847	42.09999847	49.29999924	35.40000153	6.800000191	6.699999809	6.900000095	19.70000076	0	13.30000019	0	16	0	31	0	27.60000038	0	29.20000076	0	0	2707123772
ALB	1999	0	27.11773208	0	0.960164412	5.927	0	-41200000	3414760915	13.50117338	1098.425463	0	1010	3770	0.389437654	1.53333078	0.081437045	73.79339024	0	0	0	30.78683378	62.2778104	6.935355816	-0.633352274	49.70536311	3108778	0	0	0	0	0	0	0	0	0	0	19.39999962	0	13.5	0	16	0	30.79999924	0	29.39999962	0	30.10000038	0	0	3414760915
ALB	2000	0	26.49046231	0	0.978174681	5.818	0	-143000000	3632043908	6.666620515	1175.788981	0	1170	4160	0.050018136	3.981288026	0.114097347	74.27153659	0	0	0	30.26331173	62.66220153	7.074486742	-0.637356834	49.46692227	3089027	0	0	0	0	0	0	0	0	0	0	14.30000019	0	12.89999962	0	13.5	0	23.10000038	0	25.79999924	0	24.60000038	0	0	3632043908
ALB	2001	98.71298218	24.45305457	0	1.053304176	5.741	0	-207300000	4060758804	7.940331421	1326.970339	0	1330	4650	3.10758827	3.32885109	0.325798377	74.73256098	0	0	0	29.63679378	63.02427617	7.338930051	-0.938470428	49.38828646	3060173	0	56.29999924	51.79999924	61.09999847	38.90000153	43.09999847	34.5	3.299999952	3.700000048	2.900000095	28.89999962	28.39999962	18.29999924	18.79999924	22.70000076	22.70000076	27.5	27.10000038	42.29999924	41.59999847	35.5	35.5	0	4060758804
ALB	2002	0	24.23593287	0	1.229540709	5.711	0	-135000000	4435078648	4.231371012	1453.642777	31.74	1410	4900	7.770525834	2.410589728	0.390081273	75.15460976	0	0	0	28.92288205	63.45100656	7.626111391	-0.299876697	49.43469847	3051010	25.4	56.40000153	54.79999924	58	38.40000153	40.59999847	36.20000076	3.400000095	3.400000095	3.400000095	14.5	0	12.69999981	0	13.39999962	0	22	0	26.10000038	0	24.29999924	0	0	4435078648
ALB	2003	0	24.33269861	0	1.412697196	5.737	0	-178036400.7	5746945913	5.77349057	1890.681557	0	1690	5320	0.484002612	5.379724408	0.971900415	75.52329268	0	0	0	28.1148652	63.95297469	7.932160107	-0.374149169	49.55728903	3039616	0	0	0	0	0	0	0	0	0	0	12.39999962	0	13	0	12.69999981	0	17	0	23.29999924	0	20.5	0	0	5746945913
ALB	2004	0	22.93252109	0	1.376212735	5.822	0	-327681210.2	7314865176	5.709556581	2416.588235	0	2150	5790	2.280019169	2.357084185	2.420387798	75.83121951	0	0	0	27.23205224	64.51550024	8.252447517	-0.417931378	49.67916313	3026939	0	0	0	0	0	0	0	0	0	0	12.5	0	12.80000019	0	12.60000038	0	17.39999962	0	23.20000076	0	20.70000076	0	0	7314865176
